created_at,id,text,province
Thu Nov 01 08:35:37 +0800 2018,4301464585335651,"""江湖还在侠义永存🙏🙏🙏""",37
Thu Nov 01 08:33:58 +0800 2018,4301464174397455,"""金先生一生游走江湖，留下的太多！""",62
Thu Nov 01 08:33:22 +0800 2018,4301464019522177,"""金大侠去了，我的武侠里再也看不到了""",42
Thu Nov 01 08:31:15 +0800 2018,4301463490382087,"""各有因缘莫羡人""",33
Thu Nov 01 08:30:38 +0800 2018,4301463335029964,"""一路走好""",31
Thu Nov 01 08:30:19 +0800 2018,4301463252009480,"""一个个熟悉的人，逐渐远离，只留下无数思念与传奇!别了，侠之大者![泪][泪][泪]""",44
Thu Nov 01 08:29:08 +0800 2018,4301462953993856,"""[悲伤][悲伤][悲伤]""",11
Thu Nov 01 08:27:25 +0800 2018,4301462516900054,"""武侠之义永存""",53
Thu Nov 01 08:27:19 +0800 2018,4301462496452407,"""很受教这种生活态度""",31
Thu Nov 01 08:26:37 +0800 2018,4301462319702290,"""@少女本5:有道理""",32
Thu Nov 01 08:26:32 +0800 2018,4301462294528781,"""[good]""",51
Thu Nov 01 08:26:19 +0800 2018,4301462245007372,"""一路走好""",11
Thu Nov 01 08:26:16 +0800 2018,4301462232197058,"""永恒""",100
Thu Nov 01 08:26:14 +0800 2018,4301462227997705,"""悲伤""",100
Thu Nov 01 08:26:12 +0800 2018,4301462215404260,"""你好""",100
Thu Nov 01 08:26:11 +0800 2018,4301462211097679,"""666""",52
Thu Nov 01 08:26:10 +0800 2018,4301462206899252,"""狭义永存心中""",11
Thu Nov 01 08:26:07 +0800 2018,4301462194410474,"""[蜡烛][蜡烛][蜡烛]🙏🙏🙏""",100
Thu Nov 01 08:26:03 +0800 2018,4301462181705254,"""🙏🙏🙏""",41
Thu Nov 01 08:26:00 +0800 2018,4301462165686047,"""好的""",100
Thu Nov 01 08:25:58 +0800 2018,4301462156622713,"""侠之大义者的""",100
Thu Nov 01 08:25:58 +0800 2018,4301462156516111,"""[悲伤]""",44
Thu Nov 01 08:25:55 +0800 2018,4301462143920848,"""生得伟大""",100
Thu Nov 01 08:25:53 +0800 2018,4301462136300804,"""致敬""",51
Thu Nov 01 08:25:53 +0800 2018,4301462135521786,"""yaengz saek gaiq cix ij heuh gou bae caeuq mwngz guh hong o.gou coemh ha na""",100
Thu Nov 01 08:25:51 +0800 2018,4301462127903968,"""江湖再见""",82
Thu Nov 01 08:25:51 +0800 2018,4301462127719123,"""飞雪连天射白鹿，笑书神侠倚碧鸳。慢慢的，我们记忆中的人物都在退场""",37
Thu Nov 01 08:25:49 +0800 2018,4301462114376053,"""😊""",14
Thu Nov 01 08:25:45 +0800 2018,4301462102302325,"""唉""",100
Thu Nov 01 08:25:43 +0800 2018,4301462098515046,"""，""",100
Thu Nov 01 08:25:44 +0800 2018,4301462097735916,"""好""",41
Thu Nov 01 08:25:39 +0800 2018,4301462081537133,"""[泪]""",14
Thu Nov 01 08:25:40 +0800 2018,4301462080941559,"""好""",100
Thu Nov 01 08:25:41 +0800 2018,4301462080811116,"""，""",100
